helper_id,chunk_id,event,decoded_count,timestamp
2,26,RECOVERED,14,1780308509.637377
2,10,RECOVERED,15,1780308509.6380982
2,7,RECOVERED,16,1780308509.6388216
2,5,SENT,16,1780308511.2962568
2,9,SENT,16,1780308513.160258
2,33,SENT,16,1780308514.8202467
2,31,SENT,16,1780308516.4202547
2,26,SENT,16,1780308518.180258
2,10,SENT,16,1780308520.1122599
2,7,SENT,16,1780308521.5522547
2,28,RECOVERED,17,1780308521.553965
2,28,SENT,17,1780308523.4802508
2,13,RECOVERED,18,1780308530.4409788
2,13,SENT,18,1780308532.3642595
2,8,RECOVERED,19,1780308545.5910282
2,8,SENT,19,1780308547.2642546
2,0,RECOVERED,20,1780308554.3836904
2,17,RECOVERED,21,1780308554.3846848
2,36,RECOVERED,22,1780308554.3854327
2,19,RECOVERED,23,1780308554.3872743
2,23,RECOVERED,24,1780308554.3898096
2,21,RECOVERED,25,1780308554.3905516
2,3,RECOVERED,26,1780308554.3913002
2,11,RECOVERED,27,1780308554.3920507
2,25,RECOVERED,28,1780308554.3930626
2,34,RECOVERED,29,1780308554.3937976
2,32,RECOVERED,30,1780308554.3944945
2,37,RECOVERED,31,1780308554.395422
2,16,RECOVERED,32,1780308554.3962216
2,0,SENT,32,1780308556.0562577
2,17,SENT,32,1780308557.7762494
2,36,SENT,32,1780308559.2202473
2,19,SENT,32,1780308561.0602653
2,23,SENT,32,1780308562.4922473
2,21,SENT,32,1780308564.0682542
2,3,SENT,32,1780308565.9922569
2,11,SENT,32,1780308567.8162572
2,25,SENT,32,1780308569.368261
2,34,SENT,32,1780308571.0442536
2,32,SENT,32,1780308572.7122552
2,37,SENT,32,1780308574.4122567
2,16,SENT,32,1780308576.1042545
2,20,RECOVERED,33,1780308591.4365444
2,1,RECOVERED,34,1780308591.43741
2,29,RECOVERED,35,1780308591.4382176
2,20,SENT,35,1780308593.216261
2,1,SENT,35,1780308594.7122614
2,29,SENT,35,1780308596.1282637
2,2,RECOVERED,36,1780308605.4712687
2,12,RECOVERED,37,1780308605.4763386
2,2,SENT,37,1780308606.852237
2,12,SENT,37,1780308608.2642765
2,14,RECOVERED,38,1780308653.509435
2,-1,COMPLETE_232.58,38,1780308653.5096488
2,14,SENT,38,1780308655.1242573
